age,worms,study_id,study_type,year,age_class
5.96702335567583,0,1,1,1985,2
8.74844707503809,0,1,1,1985,2
2.27548003202786,0,1,1,1985,1
7.46246555121449,0,1,1,1985,2
7.52923268507569,0,1,1,1985,2
6.03055825537546,0,1,1,1985,2
2.82775838058535,4,1,1,1985,1
2.44501837147404,7,1,1,1985,1
2.11733647936385,1,1,1,1985,1
18.440768194947,0,1,1,1985,3
16.4076300288462,0,1,1,1985,3
11.4668939526214,0,1,1,1985,3
13.7868605258996,0,1,1,1985,3
12.2151545562158,0,1,1,1985,3
11.0014100904707,0,1,1,1985,3
17.6367647426452,2,1,1,1985,3
19.8243750093118,16,1,1,1985,3
19.8773908170883,6,1,1,1985,3
10.7281842409099,43,1,1,1985,3
17.0185345491586,8,1,1,1985,3
12.6706734953774,1,1,1,1985,3
12.6961386726781,2,1,1,1985,3
15.6915711874114,42,1,1,1985,3
12.1312347473714,42,1,1,1985,3
10.5828396426804,19,1,1,1985,3
10.6233919466676,46,1,1,1985,3
10.8412624773961,9,1,1,1985,3
13.9589407289479,1,1,1,1985,3
13.0892951529384,2,1,1,1985,3
16.3763895311002,15,1,1,1985,3
19.9469194154497,50,1,1,1985,3
10.7495115216591,59,1,1,1985,3
14.8911148166437,154,1,1,1985,3
11.4532463323104,110,1,1,1985,3
20.329505318763,188,1,1,1985,4
18.9190549939012,279,1,1,1985,3
11.8318232562986,395,1,1,1985,3
12.0247472063856,669,1,1,1985,3
10.996221574548,749,1,1,1985,3
19.6295819976201,784,1,1,1985,3
22.8371665718698,0,1,1,1985,4
22.7867960022118,0,1,1,1985,4
29.4504645588266,0,1,1,1985,4
27.2478987107997,0,1,1,1985,4
20.66038796968,0,1,1,1985,4
24.7744294270082,0,1,1,1985,4
23.586937327757,0,1,1,1985,4
27.7325777498319,0,1,1,1985,4
23.8668058751502,33,1,1,1985,4
22.4597553669056,22,1,1,1985,4
22.1009248482947,17,1,1,1985,4
20.5954813820551,48,1,1,1985,4
30.3222835821273,19,1,1,1985,5
24.3774405313448,31,1,1,1985,4
29.5138575242458,50,1,1,1985,4
22.8827048865741,34,1,1,1985,4
20.8752749103754,34,1,1,1985,4
27.4246958543073,37,1,1,1985,4
21.9439496258752,41,1,1,1985,4
20.8723500650851,49,1,1,1985,4
23.0027607802818,9,1,1,1985,4
24.7701372090332,49,1,1,1985,4
28.1216174356103,5,1,1,1985,4
20.5567415297836,40,1,1,1985,4
21.0599084226449,4,1,1,1985,4
21.819721805134,51,1,1,1985,4
22.0947110183217,59,1,1,1985,4
28.2087435980571,100,1,1,1985,4
23.1404096533121,51,1,1,1985,4
21.6540058895665,100,1,1,1985,4
22.5946534870282,53,1,1,1985,4
21.6107190052183,131,1,1,1985,4
26.2938966921638,188,1,1,1985,4
20.5367447941332,200,1,1,1985,4
