age,eggs,study_id,year,age_class
11.4864308363422,426,2,1994,3
11.7245339839317,376,2,1994,3
9.65258450586918,176,2,1994,2
12.5819588957489,67,2,1994,3
10.4945649544978,45,2,1994,3
15.693365824668,95,2,1994,3
25.9830540611399,782,2,1994,4
28.4924940657711,42,2,1994,4
21.633641779481,414,2,1994,4
26.4265578351557,239,2,1994,4
23.1207179721136,59,2,1994,4
29.3284321939513,254,2,1994,4
25.0584114831105,1935,2,1994,4
36.2015748068002,672,2,1994,5
39.3408580912296,273,2,1994,5
35.4195488197438,299,2,1994,5
32.0856844186888,521,2,1994,5
38.6568406826496,176,2,1994,5
30.4036632122149,59,2,1994,5
29.541792779708,84,2,1994,4
35.7943582502709,253,2,1994,5
34.2165664694826,234,2,1994,5
35.8278918538097,346,2,1994,5
33.949990264375,439,2,1994,5
38.9914907492807,450,2,1994,5
31.7039048537807,320,2,1994,5
37.6940317588927,2015,2,1994,5
30.5239024275727,1999,2,1994,5
33.014524144548,1992,2,1994,5
48.2542563300837,532,2,1994,6
42.5624726952289,246,2,1994,6
41.0155595386836,43,2,1994,6
48.1907221878818,498,2,1994,6
42.4370914780391,265,2,1994,6
42.8536551814334,89,2,1994,6
45.57400675115,121,2,1994,6
47.2784267069707,509,2,1994,6
48.0578107681118,658,2,1994,6
39.5856441609745,472,2,1994,5
45.8125879430536,368,2,1994,6
45.6693053671582,659,2,1994,6
48.0540523528471,155,2,1994,6
49.3777158434228,41,2,1994,6
49.3428993903234,226,2,1994,6
49.3973060019767,182,2,1994,6
48.7525977043183,4912,2,1994,6
47.2735830834308,20877,2,1994,6
49.0637033577268,21182,2,1994,6
59.0131076871112,42,2,1994,7
56.4798236386205,262,2,1994,7
50.4731440707007,145,2,1994,7
56.7096308479854,127,2,1994,7
53.795410337868,416,2,1994,7
58.484102002444,101,2,1994,7
53.0454296560473,135,2,1994,7
59.115061289713,472,2,1994,7
51.3197056653848,2552,2,1994,7
56.4597146293732,2528,2,1994,7
51.5199583687277,2564,2,1994,7
51.3453622578298,10542,2,1994,7
62.6904758323147,720,2,1994,8
64.6075776815008,196,2,1994,8
66.5544250577335,614,2,1994,8
61.5374526951192,182,2,1994,8
64.2923345616822,186,2,1994,8
